,gid,위도,경도,sub_cnt,point
260,Na,37.26209748,127.00095879999999,1,POINT (127.0009588 37.26209748)
261,광교 파출소,37.2577504,127.04045719999999,1,POINT (127.0404572 37.2577504)
262,광교 파출소,37.27120411,127.02345679999999,1,POINT (127.0234568 37.27120411)
263,광교 파출소,37.28916214,127.006421,1,POINT (127.006421 37.28916214)
264,광교 파출소,37.29376092,127.02895579999999,1,POINT (127.0289558 37.29376092)
265,광교 파출소,37.29384857,127.05152009999999,1,POINT (127.0515201 37.29384857)
266,광교 파출소,37.27577787,127.0403476,1,POINT (127.0403476 37.27577787)
267,Na,37.23963326,127.01801850000001,1,POINT (127.0180185 37.23963326)
268,광교 파출소,37.26676414,127.04040239999999,1,POINT (127.0404024 37.26676414)
269,광교 파출소,37.30736911,127.05143989999999,1,POINT (127.0514399 37.30736911)
270,광교 파출소,37.27564164,127.00650929999999,1,POINT (127.0065093 37.27564164)
271,Na,37.28450936,126.97260829999999,1,POINT (126.9726083 37.28450936)
272,Na,37.28458355,126.9895293,1,POINT (126.9895293 37.28458355)
273,광교 파출소,37.27118128,127.0178175,1,POINT (127.0178175 37.27118128)
274,광교 파출소,37.29386981,127.0571612,1,POINT (127.0571612 37.29386981)
275,Na,37.23946608,126.97855940000001,1,POINT (126.9785594 37.23946608)
276,광교 파출소,37.2711348,127.00653870000001,1,POINT (127.0065387 37.2711348)
277,Na,37.2530113,126.98410430000001,1,POINT (126.9841043 37.2530113)
278,Na,37.24847976,126.9784973,1,POINT (126.9784973 37.24847976)
279,Na,37.29805478,126.97815530000001,1,POINT (126.9781553 37.29805478)
280,Na,37.29347216,126.9612634,1,POINT (126.9612634 37.29347216)
281,광교 파출소,37.26212112,127.00659750000001,1,POINT (127.0065975 37.26212112)
282,광교 파출소,37.29815212,127.00072069999999,1,POINT (127.0007207 37.29815212)
283,광교 파출소,37.2533289,127.0630369,1,POINT (127.0630369 37.2533289)
284,Na,37.26655624,126.98965109999999,1,POINT (126.9896511 37.26655624)
285,Na,37.24429418,127.05745149999998,1,POINT (127.0574515 37.24429418)
286,광교 파출소,37.28019497,127.01776000000001,1,POINT (127.01776 37.28019497)
287,광교 파출소,37.27568813,127.01778870000001,1,POINT (127.0177887 37.27568813)
288,Na,37.25761427,127.00662690000001,1,POINT (127.0066269 37.25761427)
289,Na,37.26207358,126.99532009999999,1,POINT (126.9953201 37.26207358)
290,Na,37.307117600000005,126.989377,1,POINT (126.989377 37.30711760000001)
