,gid,lbl,val,geometry,경도,위도
0,다사52a15b,1746.00,1746.0,"MULTIPOLYGON (((126.9588461639131 37.23712415790702, 126.9588139436361 37.2416309887781, 126.9644510724601 37.24165661729232, 126.9644829571621 37.23714978226322, 126.9588461639131 37.23712415790702)))",126.9616485344082,37.239390408920755
1,다사60a22b,1916.00,1916.0,"MULTIPOLYGON (((127.0486592087345 37.30059812885228, 127.0486322740495 37.30510497264218, 127.0542742137062 37.30512635628769, 127.0543008117444 37.3006195090306, 127.0486592087345 37.30059812885228)))",127.05146662715416,37.30286226411537
2,다사52a17b,4252.00,4252.0,"MULTIPOLYGON (((126.9587172397686 37.25515146061682, 126.9586849907951 37.25965827763768, 126.9643234626668 37.25968392278886, 126.9643553757663 37.25517710160803, 126.9587172397686 37.25515146061682)))",126.96152026736434,37.25741771303795
3,다사59b18b,8083.00,8083.0,"MULTIPOLYGON (((127.0432355639738 37.26452163307412, 127.043208341161 37.26902850100909, 127.0488475837548 37.26905012553267, 127.0488744705209 37.26454325409021, 127.0432355639738 37.26452163307412)))",127.04604148994966,37.26678590080961
4,다사56a22a,6557.00,6557.0,"MULTIPOLYGON (((127.0035562279738 37.29591058882604, 127.0035266067599 37.30041740676917, 127.009168159714 37.30044093819586, 127.0091974443676 37.29593411643713, 127.0035562279738 37.29591058882604)))",127.006362109809,37.29817578496524
5,다사52a19a,1298.00,1298.0,"MULTIPOLYGON (((126.9586204713114 37.26867190129045, 126.958588200798 37.27317870792205, 126.9642276807402 37.27320436555608, 126.9642596151553 37.26869755476304, 126.9586204713114 37.26867190129045)))",126.96142399211628,37.27093815476891
6,다사51b20a,1669.00,1669.0,"MULTIPOLYGON (((126.9529161141709 37.27765958061858, 126.9528834930428 37.28216637611725, 126.9585236382193 37.28219231079488, 126.9585559231012 37.27768551109024, 126.9529161141709 37.27765958061858)))",126.95571979224965,37.27992596704845
7,다사50a22b,9.00,9.0,"MULTIPOLYGON (((126.9358285070772 37.3001140555976, 126.9357948397728 37.30462082088675, 126.9414366452687 37.30464758340702, 126.9414699759576 37.30014081377861, 126.9358285070772 37.3001140555976)))",126.93863249213858,37.30238084082872
8,다사58a16b,9561.00,9561.0,"MULTIPOLYGON (((127.0264317419452 37.2464276954928, 127.0264035361232 37.25093456647326, 127.0320414165927 37.25095698225368, 127.0320692866715 37.24645010763673, 127.0264317419452 37.2464276954928)))",127.02923649543393,37.24869236033255
9,다사59b23a,3733.00,3733.0,"MULTIPOLYGON (((127.0429903403889 37.30508332004382, 127.0429630629874 37.30959015686527, 127.0486053333684 37.30961181297483, 127.0486322740495 37.30510497264218, 127.0429903403889 37.30508332004382)))",127.0457977527952,37.30734758804729
10,다사57a23a,854.00,854.0,"MULTIPOLYGON (((127.0147807646512 37.30497102279085, 127.0147518036693 37.30947784140211, 127.0203940429382 37.30950084248038, 127.0204226672069 37.30499402013986, 127.0147807646512 37.30497102279085)))",127.01758731971906,37.30723595411885
