gid,lbl,val,geometry,경도,위도
가나57ba20aa,778,778,"MULTIPOLYGON (((127.0205942790839 37.27795301345542, 127.0205799868462 37.28020643543494, 127.0234000152232 37.28021782309226, 127.0234142233993 37.27796440018929, 127.0205942790839 37.27795301345542)))",127.0219971,37.27908542
가나57aa18bb,777,777,"MULTIPOLYGON (((127.0150266729009 37.26666292492094, 127.0150122205847 37.26891634936062, 127.0178318255587 37.26892786670087, 127.0178461938604 37.2666744413271, 127.0150266729009 37.26666292492094)))",127.0164292,37.2677954
가나60ba21bb,768,768,"MULTIPOLYGON (((127.0543406977023 37.29385923166372, 127.0543274038627 37.29611265831682, 127.0571480393058 37.2961232458477, 127.0571612490162 37.29386981833616, 127.0543406977023 37.29385923166372)))",127.0557443,37.29499124
가나58aa19aa,767,767,"MULTIPOLYGON (((127.0262906500376 37.26896201582247, 127.0262765322092 37.27121544310138, 127.0290962275479 37.27122669275415, 127.0291102613518 37.2689732645629, 127.0262906500376 37.26896201582247)))",127.0276934,37.27009436
가나58ab19bb,765,765,"MULTIPOLYGON (((127.0290681552542 37.2757335465435, 127.0290541167642 37.27798697214151, 127.0318740657949 37.27799815735963, 127.0318880202322 37.27574473085456, 127.0290681552542 37.2757335465435)))",127.0304711,37.27686586
가나53ab22ba,760,760,"MULTIPOLYGON (((126.9724981853909 37.3002831773294, 126.9724824466302 37.3025365741198, 126.9753032877906 37.30254911393568, 126.9753189423995 37.30029571612862, 126.9724981853909 37.3002831773294)))",126.9739007,37.30141615
가나52bb19bb,760,760,"MULTIPOLYGON (((126.9670315375474 37.27547049876594, 126.9670156499451 37.27772390303048, 126.969835562442 37.27773656600542, 126.9698513659958 37.275483160714, 126.9670315375474 37.27547049876594)))",126.9684335,37.27660354
가나60bb17bb,758,758,"MULTIPOLYGON (((127.0573724045695 37.25781486065132, 127.0573592183597 37.26006830198564, 127.0601785103259 37.26007880865789, 127.060191612556 37.25782536647137, 127.0573724045695 37.25781486065132)))",127.0587754,37.25894684
가나58aa20bb,752,752,"MULTIPOLYGON (((127.0261917922366 37.28473598862077, 127.0261776634057 37.28698940984814, 127.0289979471779 37.28700066588887, 127.0290119919187 37.28474724374878, 127.0261917922366 37.28473598862077)))",127.0275948,37.28586833
가나51bb19ab,751,751,"MULTIPOLYGON (((126.9557846836994 37.27091237653358, 126.955768463516 37.27316577836791, 126.958588200798 37.27317870792205, 126.9586043369525 37.27092530503916, 126.9557846836994 37.27091237653358)))",126.9571864,37.27204555
가나50ba19ba,749,749,"MULTIPOLYGON (((126.9416698043706 37.27310012323147, 126.9416531621937 37.27535351887509, 126.9444729743935 37.27536678529322, 126.9444895325332 37.27311338857374, 126.9416698043706 37.27310012323147)))",126.9430714,37.27423346
가나58ba19aa,742,742,"MULTIPOLYGON (((127.0319298742277 37.26898444615309, 127.0319159244484 37.27123787525125, 127.0347356229015 37.27124899059254, 127.0347494886559 37.26899556059291, 127.0319298742277 37.26898444615309)))",127.0333327,37.27011672
가나61ab21ab,733,733,"MULTIPOLYGON (((127.062828434594 37.289383929031, 127.062815396045 37.291637359971, 127.0656358676206 37.29164774416718, 127.0656488220586 37.2893943123852, 127.062828434594 37.289383929031)))",127.0642321,37.29051584
가나58aa17bb,729,729,"MULTIPOLYGON (((127.0263612156179 37.25769486646183, 127.0263471056428 37.25994829806271, 127.0291663809525 37.25995954315427, 127.0291804069498 37.25770611064132, 127.0263612156179 37.25769486646183)))",127.0277638,37.25882721
가나59bb15ba,729,729,"MULTIPOLYGON (((127.046217218842 37.23749118641443, 127.0462037102511 37.23974463206058, 127.0490222408163 37.23975539938662, 127.0490356655122 37.23750195286696, 127.046217218842 37.23749118641443)))",127.0476197,37.2386233
가나57ba20ba,726,726,"MULTIPOLYGON (((127.0205656930179 37.28245985654983, 127.0205513975987 37.28471327680008, 127.0233715941268 37.2847246663045, 127.0233858054657 37.28247124513068, 127.0205656930179 37.28245985654983)))",127.0219686,37.28359227
가나57bb21bb,724,724,"MULTIPOLYGON (((127.0233147329524 37.29373834235341, 127.0233005137032 37.29599175920394, 127.0261211323555 37.29600308611163, 127.0261352674775 37.29374966834269, 127.0233147329524 37.29373834235341)))",127.0247179,37.29487072
가나53ab20ab,717,717,"MULTIPOLYGON (((126.9726397554431 37.28000256725822, 126.9726240324388 37.2822559718399, 126.9754441165698 37.282268502508, 126.9754597555065 37.2800150969102, 126.9726397554431 37.28000256725822)))",126.9740419,37.28113554
가나50ba19bb,716,716,"MULTIPOLYGON (((126.9416531621937 37.27535351887509, 126.9416365181646 37.27760691365246, 126.944456414411 37.27762018114651, 126.9444729743935 37.27536678529322, 126.9416531621937 37.27535351887509)))",126.9430548,37.27648686
가나57aa19ab,716,716,"MULTIPOLYGON (((127.0149977666601 37.27116977293569, 127.0149833111269 37.27342319564606, 127.0178030841577 37.27343471485462, 127.0178174556578 37.27118129121005, 127.0149977666601 37.27116977293569)))",127.0164004,37.27230225
가나51bb22aa,715,715,"MULTIPOLYGON (((126.955606162361 37.29569974908289, 126.9555899223089 37.29795314139115, 126.9584105845266 37.29796608248349, 126.9584267404469 37.29571268912601, 126.955606162361 37.29569974908289)))",126.9570084,37.29683292
가나56ab17aa,715,715,"MULTIPOLYGON (((127.0066710044116 37.25085399739095, 127.0066563115034 37.25310742504891, 127.0094753237233 37.25311913718602, 127.0094899326831 37.25086570857804, 127.0066710044116 37.25085399739095)))",127.0080731,37.25198657
가나61bb17aa,715,715,"MULTIPOLYGON (((127.0686877875168 37.25109614187295, 127.0686749415162 37.25334958917403, 127.0714939873458 37.25335982483578, 127.071506749394 37.25110637670441, 127.0686877875168 37.25109614187295)))",127.0700909,37.25222799
가나57ba17bb,714,714,"MULTIPOLYGON (((127.0207228376738 37.25767217673427, 127.0207085597438 37.25992560649465, 127.0235278319035 37.25993698584279, 127.0235420258561 37.25768355515945, 127.0207228376738 37.25767217673427)))",127.0221253,37.25880459
가나55ba22aa,713,713,"MULTIPOLYGON (((126.9979150181725 37.29588679235673, 126.9979000401198 37.29814019983133, 127.0007207283266 37.29815213264068, 127.0007356222444 37.29589872419859, 126.9979150181725 37.29588679235673)))",126.9993179,37.29701947
가나61aa17ba,709,709,"MULTIPOLYGON (((127.0602047133281 37.25557192342112, 127.060191612556 37.25782536647137, 127.0630108220005 37.25783580516717, 127.063023838802 37.25558236127021, 127.0602047133281 37.25557192342112)))",127.0616077,37.25670387
가나57aa20bb,709,709,"MULTIPOLYGON (((127.0149110093249 37.28469029622731, 127.014896544136 37.2869437137493, 127.0177168215619 37.28695523856416, 127.0177312026616 37.28470182010766, 127.0149110093249 37.28469029622731)))",127.0163139,37.28582277
가나55ba18ab,709,709,"MULTIPOLYGON (((126.9981394890486 37.26208557642309, 126.9981245359784 37.26433899687385, 127.0009439631443 37.26435091517681, 127.0009588322199 37.26209749375939, 126.9981394890486 37.26208557642309)))",126.9995417,37.26321825
가나54ab23ba,707,707,"MULTIPOLYGON (((126.9837196049456 37.30934652728453, 126.983704195935 37.31159992464652, 126.986525380713 37.31161219952308, 126.9865407055334 37.30935880116598, 126.9837196049456 37.30934652728453)))",126.9851225,37.31047937
가나52ab17bb,707,707,"MULTIPOLYGON (((126.9615202672492 37.2574177246557, 126.9615042258383 37.25967113377602, 126.9643234626668 37.25968392278886, 126.9643394201044 37.25743051263125, 126.9615202672492 37.2574177246557)))",126.9629218,37.25855083
가나61ba19ba,703,703,"MULTIPOLYGON (((127.0657394627678 37.27362026572371, 127.0657265184178 37.27587370355246, 127.0685464028537 37.27588401468768, 127.068559263158 37.27363057602275, 127.0657394627678 37.27362026572371)))",127.0671429,37.27475215
가나52ab18aa,702,702,"MULTIPOLYGON (((126.9615042258383 37.25967113377602, 126.9614881826422 37.26192454203068, 126.9643075034533 37.26193733208088, 126.9643234626668 37.25968392278886, 126.9615042258383 37.25967113377602)))",126.9629058,37.26080424
가나51bb18ba,700,700,"MULTIPOLYGON (((126.9558333334209 37.26415216583536, 126.9558171186517 37.2664055702673, 126.958636603875 37.26641849667593, 126.9586527346433 37.26416509119561, 126.9558333334209 37.26415216583536)))",126.9572349,37.26528534
가나59ab15bb,697,697,"MULTIPOLYGON (((127.0405666536399 37.23972289616816, 127.0405529757376 37.24197633918705, 127.0433715871909 37.24198724155773, 127.0433851811892 37.2397337976544, 127.0405666536399 37.23972289616816)))",127.0419691,37.24085507
가나56ba16bb,696,696,"MULTIPOLYGON (((127.0095045400173 37.24861227910546, 127.0094899326831 37.25086570857804, 127.0123088625803 37.25087735265927, 127.0123233859752 37.24862392224215, 127.0095045400173 37.24861227910546)))",127.0109067,37.24974482
가나58ba18ab,694,694,"MULTIPOLYGON (((127.0319717142521 37.26222415367272, 127.0319577691293 37.2644775853638, 127.0347772155359 37.26448869800087, 127.0347910766618 37.26223526540848, 127.0319717142521 37.26222415367272)))",127.0333744,37.26335643
가나59bb23ab,693,693,"MULTIPOLYGON (((127.0457977526985 37.30734759968549, 127.0457841974235 37.30960101854455, 127.0486053333684 37.30961181297483, 127.0486188044585 37.30735839324068, 127.0457977526985 37.30734759968549)))",127.0472015,37.30847971
가나52bb23ab,687,687,"MULTIPOLYGON (((126.9668089501347 37.30701807968332, 126.9667930377588 37.30927147182626, 126.9696141279169 37.30928414918408, 126.9696299561132 37.30703075601341, 126.9668089501347 37.30701807968332)))",126.9682115,37.30815112
가나53ba16ba,684,684,"MULTIPOLYGON (((126.9756941308301 37.24621390908845, 126.9756785179772 37.24846732766741, 126.9784973438136 37.24847977600103, 126.9785128727389 37.24622635641228, 126.9756941308301 37.24621390908845)))",126.9770957,37.24734685
가나57ba18bb,681,681,"MULTIPOLYGON (((127.0206657164189 37.26668589058893, 127.0206514321317 37.26893931689133, 127.0234710402945 37.26895069993191, 127.0234852405669 37.26669727270632, 127.0206657164189 37.26668589058893)))",127.0220684,37.2678183
가나55aa18ba,680,680,"MULTIPOLYGON (((126.9924856866483 37.26431495885399, 126.9924705639067 37.26656837649008, 126.9952900717386 37.26658043004657, 126.9953051104766 37.26432701143289, 126.9924856866483 37.26431495885399)))",126.9938879,37.2654477
가나54ab19aa,672,672,"MULTIPOLYGON (((126.9839966740848 37.26878522676711, 126.9839812959115 37.27103863970724, 126.9868009667001 37.27105089668109, 126.9868162608518 37.26879748274692, 126.9839966740848 37.26878522676711)))",126.9853988,37.26991807
가나56ab20bb,671,671,"MULTIPOLYGON (((127.0064504390108 37.28465532146006, 127.0064357215553 37.2869087361458, 127.0092559941233 37.28692046254001, 127.0092706274901 37.2846670469034, 127.0064504390108 37.28465532146006)))",127.0078532,37.2857879
가나58ab20aa,670,670,"MULTIPOLYGON (((127.0290541167642 37.27798697214151, 127.0290400767117 37.28024039687507, 127.0318601098045 37.28025158300032, 127.0318740657949 37.27799815735963, 127.0290541167642 37.27798697214151)))",127.0304571,37.27911928
가나58ab18ba,668,668,"MULTIPOLYGON (((127.0291383242748 37.26446640558727, 127.0291242935941 37.26671983550727, 127.0319438224546 37.2667310161906, 127.0319577691293 37.2644775853638, 127.0291383242748 37.26446640558727)))",127.0305411,37.26559872
가나54ba21ab,665,665,"MULTIPOLYGON (((126.9866785521932 37.28907817700453, 126.9866632427152 37.29133158315093, 126.9894836718233 37.29134378187084, 126.9894988971953 37.28909037473532, 126.9866785521932 37.28907817700453)))",126.9880811,37.29021098
가나59ab17aa,665,665,"MULTIPOLYGON (((127.0404982489054 37.250990102623, 127.0404845633905 37.25324354132201, 127.0433035945036 37.25325444811569, 127.0433171960677 37.25100100853199, 127.0404982489054 37.250990102623)))",127.0419009,37.25212228
가나63ab22aa,663,663,"MULTIPOLYGON (((127.0853544730553 37.29622542421802, 127.0853421032695 37.29847885915065, 127.0881628385107 37.29848870809007, 127.0881751241561 37.29623527235888, 127.0853544730553 37.29622542421802)))",127.0867586,37.29735707
가나57aa20aa,656,656,"MULTIPOLYGON (((127.0149543952338 37.27793003847275, 127.0149399348736 37.28018345858903, 127.0177599600599 37.28019498060048, 127.017774336359 37.27794155954986, 127.0149543952338 37.27793003847275)))",127.0163572,37.27906251
가나56ba21ba,656,656,"MULTIPOLYGON (((127.0092267225036 37.29142729121847, 127.0092120842502 37.29368070426029, 127.0120326107696 37.29369236629807, 127.012047164906 37.29143895231066, 127.0092267225036 37.29142729121847)))",127.0106296,37.29255983
가나53bb19ab,655,655,"MULTIPOLYGON (((126.9783419594781 37.27101392429842, 126.9783264115319 37.27326733436874, 126.9811461629187 37.27327972665495, 126.9811616268343 37.27102631557965, 126.9783419594781 37.27101392429842)))",126.979744,37.27214683
가나57ba22ba,654,654,"MULTIPOLYGON (((127.0204512851048 37.30048719433998, 127.0204369769522 37.30274060767233, 127.0232578464592 37.30275200456723, 127.0232720704568 37.30049859031088, 127.0204512851048 37.30048719433998)))",127.0218545,37.3016196
가나58bb17ba,653,653,"MULTIPOLYGON (((127.0348326507857 37.25547496244614, 127.0348187942866 37.2577283976311, 127.0376379902728 37.25773944044118, 127.037651762803 37.25548600436052, 127.0348326507857 37.25547496244614)))",127.0362353,37.25660721
가나61aa17ab,651,651,"MULTIPOLYGON (((127.0602178126424 37.25331847950717, 127.0602047133281 37.25557192342112, 127.063023838802 37.25558236127021, 127.0630368541551 37.25332891650964, 127.0602178126424 37.25331847950717)))",127.0616208,37.25445043
가나60aa16ab,650,650,"MULTIPOLYGON (((127.0489953869424 37.24426228983461, 127.0489819577641 37.24651573376292, 127.0518007415647 37.24652643661319, 127.0518140868199 37.24427299181666, 127.0489953869424 37.24426228983461)))",127.050398,37.24539437
가나58ba18ba,647,647,"MULTIPOLYGON (((127.0319577691293 37.2644775853638, 127.0319438224546 37.2667310161906, 127.0347633528673 37.26674212972902, 127.0347772155359 37.26448869800087, 127.0319577691293 37.2644775853638)))",127.0333605,37.26560986
가나56bb19ab,641,641,"MULTIPOLYGON (((127.0121780792711 37.27115818750619, 127.0121635397049 37.27341160927693, 127.0149833111269 37.27342319564606, 127.0149977666601 37.27116977293569, 127.0121780792711 37.27115818750619)))",127.0135807,37.2722907
가나53ba22bb,637,637,"MULTIPOLYGON (((126.9753032877906 37.30254911393568, 126.9752876314393 37.30480251087701, 126.9781085585035 37.30481498447451, 126.9781241306934 37.30256158652193, 126.9753032877906 37.30254911393568)))",126.9767059,37.30368205
가나57aa16ab,637,637,"MULTIPOLYGON (((127.01517110764 37.24412863297251, 127.0151566713978 37.24638206605763, 127.0179754366482 37.24639357405955, 127.0179897889694 37.24414014004088, 127.01517110764 37.24412863297251)))",127.0165733,37.24526111
가나57bb16ab,636,636,"MULTIPOLYGON (((127.0236271564099 37.24416295290785, 127.0236129719312 37.24641638877724, 127.0264317419452 37.2464276954928, 127.0264458425024 37.2441742587062, 127.0236271564099 37.24416295290785)))",127.0250294,37.24529533
가나57bb20bb,635,635,"MULTIPOLYGON (((127.0233715941268 37.2847246663045, 127.0233573812062 37.28697808661371, 127.0261776634057 37.28698940984814, 127.0261917922366 37.28473598862077, 127.0233715941268 37.2847246663045)))",127.0247746,37.28585704
가나51bb18aa,633,633,"MULTIPOLYGON (((126.9558657575464 37.25964535437399, 126.9558495463857 37.26189876053757, 126.9586688636166 37.26191168484952, 126.9586849907951 37.25965827763768, 126.9558657575464 37.25964535437399)))",126.9572673,37.26077852
가나59ba17bb,630,630,"MULTIPOLYGON (((127.043276386834 37.25776132469114, 127.0432627807282 37.26001476168285, 127.0460820652634 37.26002560400191, 127.0460955873904 37.2577721661308, 127.043276386834 37.25776132469114)))",127.0446792,37.25889347
가나60ab19ab,616,616,"MULTIPOLYGON (((127.0516538456992 37.27131427236196, 127.0516404826108 37.27356770679199, 127.0544602757051 37.27357835290286, 127.0544735547581 37.27132491760943, 127.0516538456992 37.27131427236196)))",127.053057,37.27244632
가나63ab21bb,614,614,"MULTIPOLYGON (((127.0853668414644 37.29397198842178, 127.0853544730553 37.29622542421802, 127.0881751241561 37.29623527235888, 127.0881874084342 37.29398183576415, 127.0853668414644 37.29397198842178)))",127.086771,37.29510364
가나56bb20aa,609,609,"MULTIPOLYGON (((127.0121344557179 37.27791845022419, 127.0121199112968 37.28017186940066, 127.0149399348736 37.28018345858903, 127.0149543952338 37.27793003847275, 127.0121344557179 37.27791845022419)))",127.0135372,37.27905096
가나55ab23ab,608,608,"MULTIPOLYGON (((126.9950190880641 37.30714181715579, 126.9950040174926 37.30939521933082, 126.9978251248463 37.30940722422549, 126.9978401112363 37.30715382107724, 126.9950190880641 37.30714181715579)))",126.9964221,37.30827453
가나60aa23ab,605,605,"MULTIPOLYGON (((127.0486188044585 37.30735839324068, 127.0486053333684 37.30961181297483, 127.0514264708126 37.30962254015599, 127.0514398577178 37.30736911955218, 127.0486188044585 37.30735839324068)))",127.0500226,37.30849047
가나61ab18bb,604,604,"MULTIPOLYGON (((127.0629587403061 37.26684957211812, 127.0629457162596 37.26910301169654, 127.0657653471464 37.269113387475, 127.0657782871755 37.26685994705507, 127.0629587403061 37.26684957211812)))",127.064362,37.26798149
가나60ba16ab,603,603,"MULTIPOLYGON (((127.0546327881823 37.24428362670746, 127.0546195268505 37.24653707236677, 127.057438313612 37.24654764102352, 127.0574514910204 37.24429419450688, 127.0546327881823 37.24428362670746)))",127.0560355,37.24541564
가나54bb22ab,599,599,"MULTIPOLYGON (((126.9894379855392 37.29810399808523, 126.9894227533879 37.30035740175926, 126.992243520709 37.3003695372114, 126.9922586687167 37.29811613255349, 126.9894379855392 37.29810399808523)))",126.9908407,37.29923677
가나51bb17ab,598,598,"MULTIPOLYGON (((126.9559143802059 37.25288513068851, 126.9558981744563 37.25513853944943, 126.9587172397686 37.25515146061682, 126.958733361564 37.25289805080782, 126.9559143802059 37.25288513068851)))",126.9573158,37.2540183
가나61aa18ba,598,598,"MULTIPOLYGON (((127.0601523014911 37.26458569043973, 127.060139194886 37.26683913003501, 127.0629587403061 37.26684957211812, 127.0629717629032 37.26459613167594, 127.0601523014911 37.26458569043973)))",127.0615555,37.26571764
가나56bb21ab,594,594,"MULTIPOLYGON (((127.0120617174228 37.28918553745838, 127.012047164906 37.29143895231066, 127.0148676089282 37.29145054619886, 127.0148820773372 37.2891971304065, 127.0120617174228 37.28918553745838)))",127.0134646,37.29031805
가나52aa17ba,592,592,"MULTIPOLYGON (((126.9587172397686 37.25515146061682, 126.958701116179 37.2574048695601, 126.9615202672492 37.2574177246557, 126.961536306875 37.25516431466973, 126.9587172397686 37.25515146061682)))",126.9601187,37.2562846
가나59aa18ba,591,591,"MULTIPOLYGON (((127.037596663485 37.26449974349836, 127.0375828848228 37.26675317612241, 127.0404024183117 37.26676415537066, 127.0404161129674 37.26451072185615, 127.037596663485 37.26449974349836)))",127.0389995,37.26563195
가나51ba19ba,588,588,"MULTIPOLYGON (((126.9529487280391 37.27315278165588, 126.9529324220124 37.27540618157024, 126.9557522415273 37.27541917933632, 126.955768463516 37.27316577836791, 126.9529487280391 37.27315278165588)))",126.9543505,37.27428599
가나55bb19ba,581,581,"MULTIPOLYGON (((127.000884470292 37.27336459219736, 127.0008695929405 37.27561800929013, 127.0036894418753 37.27562986526172, 127.0037042351852 37.27337644720748, 127.000884470292 37.27336459219736)))",127.0022869,37.27449723
가나61ba15bb,577,577,"MULTIPOLYGON (((127.0659334552543 37.23981859465338, 127.0659205324938 37.24207204543636, 127.0687391572262 37.2420823440337, 127.0687519960813 37.23982889241526, 127.0659334552543 37.23981859465338)))",127.0673363,37.24095047
가나58bb18ba,575,575,"MULTIPOLYGON (((127.0347772155359 37.26448869800087, 127.0347633528673 37.26674212972902, 127.0375828848228 37.26675317612241, 127.037596663485 37.26449974349836, 127.0347772155359 37.26448869800087)))",127.03618,37.26562094
가나54ab19ab,574,574,"MULTIPOLYGON (((126.9839812959115 37.27103863970724, 126.9839659160267 37.27329205178209, 126.9867856708462 37.27330430975004, 126.9868009667001 37.27105089668109, 126.9839812959115 37.27103863970724)))",126.9853835,37.27217148
가나62bb18aa,574,574,"MULTIPOLYGON (((127.0799135943943 37.26015047572624, 127.0799010786341 37.26240392286228, 127.0827204659943 37.26241389330271, 127.082732897764 37.26016044535798, 127.0799135943943 37.26015047572624)))",127.081317,37.26128219
가나57bb15bb,573,573,"MULTIPOLYGON (((127.0236555206323 37.23965607857625, 127.0236413393102 37.24190951617418, 127.0264599414905 37.24192082105537, 127.0264740389098 37.23966738254035, 127.0236555206323 37.23965607857625)))",127.0250577,37.24078846
가나58ab18ab,571,571,"MULTIPOLYGON (((127.0291523533942 37.26221297480294, 127.0291383242748 37.26446640558727, 127.0319577691293 37.2644775853638, 127.0319717142521 37.26222415367272, 127.0291523533942 37.26221297480294)))",127.030555,37.26334529
가나55ab23bb,567,567,"MULTIPOLYGON (((126.9949889452437 37.31164862064046, 126.9949738713172 37.31390202108472, 126.997795147062 37.31391402792602, 126.9978101367883 37.31166062650842, 126.9949889452437 37.31164862064046)))",126.996392,37.31278133
가나60bb21ab,565,565,"MULTIPOLYGON (((127.057187664027 37.28936296072089, 127.0571744572566 37.29161638996054, 127.0599949259205 37.29162690856875, 127.0600080485803 37.2893734784762, 127.057187664027 37.28936296072089)))",127.0585913,37.29049494
가나60ab23ab,563,563,"MULTIPOLYGON (((127.0514398577178 37.30736911955218, 127.0514264708126 37.30962254015599, 127.0542476097469 37.30963320008792, 127.0542609124668 37.30737977861993, 127.0514398577178 37.30736911955218)))",127.0528437,37.30850117
가나59ab22ba,560,560,"MULTIPOLYGON (((127.0401968154833 37.30056555438023, 127.0401830964204 37.30281897406614, 127.043003976813 37.30282990033646, 127.0430176117194 37.30057647976471, 127.0401968154833 37.30056555438023)))",127.0416004,37.30169773
