,gid,sgg_nm_e,value,geometry
24,다사50b20b,"Gwonseon-gu, Suwon-si",1.454,"MULTIPOLYGON (((126.9416032245492 37.28211370060839, 126.9415699235225 37.28662048409914, 126.9472103904187 37.28664696050578, 126.9472433551278 37.28214017272137, 126.9416032245492 37.28211370060839)))"
25,다사50b21a,"Gwonseon-gu, Suwon-si",1.886,"MULTIPOLYGON (((126.9415699235225 37.28662048409914, 126.9415366150828 37.29112726412451, 126.9471774183716 37.2911537448253, 126.9472103904187 37.28664696050578, 126.9415699235225 37.28662048409914)))"
26,다사50b21b,"Gwonseon-gu, Suwon-si",0.857,"MULTIPOLYGON (((126.9415366150828 37.29112726412451, 126.9415032992284 37.29563404068439, 126.9471444389847 37.29566052567984, 126.9471774183716 37.2911537448253, 126.9415366150828 37.29112726412451)))"
27,다사50b22a,"Gwonseon-gu, Suwon-si",1.431,"MULTIPOLYGON (((126.9415032992284 37.29563404068439, 126.9414699759576 37.30014081377861, 126.9471114522562 37.30016730306922, 126.9471444389847 37.29566052567984, 126.9415032992284 37.29563404068439)))"
28,다사51a17b,"Gwonseon-gu, Suwon-si",3.048,"MULTIPOLYGON (((126.9474409893779 37.25509937326179, 126.9474080686615 37.25960618183205, 126.9530465261017 37.25963236398506, 126.9530791109476 37.25512555116772, 126.9474409893779 37.25509937326179)))"
29,다사51a18a,"Gwonseon-gu, Suwon-si",2.37,"MULTIPOLYGON (((126.9474080686615 37.25960618183205, 126.9473751406172 37.26411298693841, 126.9530139340029 37.26413917333898, 126.9530465261017 37.25963236398506, 126.9474080686615 37.25960618183205)))"
30,다사51a18b,"Gwonseon-gu, Suwon-si",1.533,"MULTIPOLYGON (((126.9473751406172 37.26411298693841, 126.9473422052434 37.26861978858065, 126.9529813346492 37.26864597922929, 126.9530139340029 37.26413917333898, 126.9473751406172 37.26411298693841)))"
31,다사51a19a,"Gwonseon-gu, Suwon-si",13.435,"MULTIPOLYGON (((126.9473422052434 37.26861978858065, 126.9473092625384 37.27312658675866, 126.9529487280391 37.27315278165588, 126.9529813346492 37.26864597922929, 126.9473422052434 37.26861978858065)))"
32,다사51a19b,"Gwonseon-gu, Suwon-si",3.617,"MULTIPOLYGON (((126.9473092625384 37.27312658675866, 126.9472763125004 37.27763338147228, 126.9529161141709 37.27765958061858, 126.9529487280391 37.27315278165588, 126.9473092625384 37.27312658675866)))"
33,다사51a20a,"Gwonseon-gu, Suwon-si",12.482,"MULTIPOLYGON (((126.9472763125004 37.27763338147228, 126.9472433551278 37.28214017272137, 126.9528834930428 37.28216637611725, 126.9529161141709 37.27765958061858, 126.9472763125004 37.27763338147228)))"
