gid,여성인구비율,cctv개수,가로등개수,경찰서접근성,
다사59a23a,0.261129804,0,0.501872659,0.221329438,-0.019413418
다사54a21b,0.260529341,0,0.464419476,0.116654492,-0.087235643
다사54a21a,0.260256033,0,0.404494382,0.097151205,-0.047087144
다사59b23b,0.259924778,0,0.486891386,0.247187728,0.02022112
다사53b17a,0.259578483,0.166666667,0.116104869,0.084806428,0.061613375
다사54a23a,0.259095701,0,0.34082397,0.087509131,0.005780861
다사60b21b,0.258860971,0,0.610486891,0.098977356,-0.252648564
다사59b18b,0.258794092,1,0.123595506,0.0917458,-0.773055614
다사55a21a,0.257980166,0,0.191011236,0.041563185,0.108532115
다사54b22a,0.256594143,0,0.172284644,0.08568298,0.169992479
다사61a15b,0.256395035,0,0.307116105,0.06807889,0.01735782
다사60b19b,0.255911594,0,0.112359551,0.06018992,0.203741963
다사61b21b,0.255248169,0,0.404494382,0.111687363,-0.03755885
다사55a20b,0.25465658,0.333333333,0.337078652,0.04514244,-0.370612965
다사60b16a,0.25458999,0.166666667,0.43071161,0.049525201,-0.293263086
다사59a23b,0.254280245,0,0.322097378,0.237472608,0.169655475
다사58a17a,0.254003821,0.166666667,0.284644195,0.009788167,-0.187518873
다사60a15b,0.253870822,0.166666667,0.310861423,0.045580716,-0.178076552
다사56a22b,0.253425967,0.5,0.164794007,0.076406136,-0.334961905
다사51b20a,0.251457074,0.166666667,0.082397004,0.100219138,0.102612542
다사60a20b,0.250569753,0,0.254681648,0.04623813,0.042126235
다사57b16a,0.250469801,0,0.217228464,0.105843682,0.139085019
다사52a17a,0.250092528,0,0.101123596,0.127757487,0.27672642
다사60a23a,0.249075288,0,0.674157303,0.188897005,-0.236185011
다사51a22a,0.248895148,0,0.108614232,0.140248356,0.280529273
다사58b20a,0.248680247,0.333333333,0.243445693,0.127465303,-0.200633476
다사63a21b,0.248671051,0,0.138576779,0.243608473,0.353702746
다사56a20b,0.248450834,0,0.187265918,0.099561724,0.16074664
다사55a22a,0.24816957,0,0.299625468,0.04660336,-0.004852538
다사53b22b,0.248078587,0,0.378277154,0.084879474,-0.045319092
다사54a23b,0.24718871,0,0.348314607,0.046165084,-0.054960812
다사57b16b,0.247053938,0.166666667,0.325842697,0.198758218,-0.046697208
다사52b21b,0.246749839,0,0.149812734,0.089627465,0.186564571
다사59a19a,0.24654557,0.166666667,0.078651685,0.117677137,0.118904355
다사59b19a,0.246487439,0,0.232209738,0.07100073,0.085278432
다사58b19a,0.246208103,0.166666667,0.142322097,0.078232286,0.015451625
다사49b19b,0.245994088,0,0.157303371,0.151789627,0.240480345
다사52b15b,0.245658381,0.166666667,0.235955056,0.202629657,0.045666315
다사56a22a,0.245237891,0.166666667,0.456928839,0.038860482,-0.339497132
다사53b21a,0.244487368,0,0.262172285,0.123374726,0.105689809
다사59b18a,0.244313807,0.5,0.31835206,0.099926954,-0.474111299
다사53a15b,0.244200497,0,0.382022472,0.169831994,0.032010019
다사58b16a,0.243841132,0.166666667,0.220973783,0.127976625,-0.015822693
다사52b16a,0.243558886,0.166666667,0.378277154,0.176552228,-0.124832706
다사51a17b,0.243349691,0,0.037453184,0.216070124,0.421966631
