gid,Longitude,Latitude
다사50a21a,126.938733,37.28886052
다사60a20b,127.0515736,37.28483485
다사61b17b,127.0686492,37.25785647
다사54a17b,126.9840735,37.25751814
다사61a17b,127.0630108,37.25783579
다사53a19a,126.9727026,37.27098893
다사53a15b,126.9729225,37.23944113
다사50b21a,126.9443736,37.28888714
다사53a23a,126.972451,37.30704335
다사52a18b,126.9614561,37.26643134
다사60b22a,127.0571348,37.29837666
다사59b23b,127.0457706,37.31185442
다사61a15b,127.0631149,37.23980822
다사58b19a,127.0347356,37.27124898
다사61a19a,127.0629327,37.27135644
다사54a20b,126.983889,37.28455909
다사54b24b,126.9892856,37.32063798
다사52a18a,126.9614882,37.26192453
다사54a23a,126.983735,37.30709312
다사50a21b,126.9386995,37.2933673
다사62a18a,127.0742623,37.26238377
다사55a22a,126.9950794,37.29812819
다사56a18b,127.0065681,37.26662796
다사53b19b,126.9783109,37.27552073
다사60b19a,127.0572933,37.27133548
다사60b21a,127.0571877,37.28936295
다사60b17b,127.0573724,37.25781485
다사62b17b,127.0799261,37.25789702
다사53b18b,126.9783731,37.26650709
다사61a21a,127.0628284,37.28938392
다사58b16a,127.0349019,37.24420776
다사50b21b,126.9443404,37.29339392
다사60a16a,127.0518141,37.24427298
다사59a23a,127.0401557,37.3073258
다사60a19b,127.0516271,37.27582113
다사58a21a,127.0289839,37.28925408
다사57a18b,127.0178462,37.26667443
다사54b23b,126.9893466,37.3116244
다사57a17b,127.0179037,37.25766072
다사55a18b,126.9952901,37.26658042
다사61b21b,127.0684435,37.29391148
다사54b18a,126.9896815,37.26204941
다사58b20b,127.0346524,37.28476954
다사59b16a,127.0461767,37.24425151
다사55a23b,126.9949889,37.31164861
다사57b20b,127.0233716,37.28472465
다사53b22b,126.9781241,37.30256157
다사52a19a,126.961424,37.27093815
다사57b16b,127.0235988,37.24866981
다사55b23a,127.0006611,37.30716575
다사54a21a,126.9838582,37.2890659
다사56a21b,127.0063916,37.29366896
다사59b15b,127.0462037,37.23974462
다사60a21a,127.0515469,37.28934171
다사54a23b,126.9837042,37.31159991
다사59a17a,127.0404846,37.25324353
다사56b20b,127.0120908,37.28467869
다사54b16a,126.989803,37.24402204
다사58a19b,127.0290682,37.27573353
다사58a20b,127.029012,37.28474723
다사56b17a,127.0122943,37.25313077
다사53b20b,126.9782486,37.28453436
다사62a17a,127.074313,37.25336998
다사57b18b,127.0234852,37.26669726
다사56b22b,127.0119744,37.302706
다사51a18b,126.9501782,37.2663795
다사50a20b,126.9387664,37.28435374
다사54a21b,126.9838274,37.29357271
다사58b21b,127.0345969,37.29378323
다사62b16b,127.0799762,37.24888322
다사55b20a,127.0008398,37.28012483
다사55b19a,127.0008993,37.27111116
다사54b16b,126.9897727,37.24852889
다사59a16b,127.0405119,37.24873665
다사55a19a,126.99526,37.27108725
다사57b21a,127.0233432,37.28923149
다사57b21b,127.0233147,37.29373833
다사52b20b,126.966968,37.2844841
다사60b16b,127.0574251,37.24880108
다사52b16a,126.9672538,37.24392274
다사60a16b,127.0517874,37.24877987
다사50b19a,126.9445061,37.27085998
다사58a16b,127.0292365,37.24869236
다사59b16b,127.0461497,37.24875839
다사60a20a,127.0516004,37.28032799
다사53b20a,126.9782798,37.28002755
다사60b18b,127.0573197,37.26682861
다사55a17b,126.9953502,37.25756674
다사54b21a,126.9894989,37.28909036
다사56a20a,127.0064799,37.28014848
다사53b16a,126.9785284,37.24397292
다사57b18a,127.0235136,37.2621904
다사53a20a,126.9726398,37.28000256
다사57a22a,127.0176449,37.29822231
다사50b19b,126.944473,37.27536677
다사57b19b,127.0234284,37.27571096
다사54b22b,126.9894075,37.30261079
다사60a15b,127.0518408,37.23976609
다사57b17b,127.023542,37.25768354
다사58a20a,127.0290401,37.28024039
다사62a17b,127.0742877,37.25787688
다사61a18b,127.0629587,37.26684956
다사54a16a,126.9841657,37.24399762
다사58a17a,127.0292085,37.25319923
다사58b17b,127.0348188,37.25772839
다사56b21a,127.0120617,37.28918553
다사59b19b,127.0459874,37.27579963
다사56b21b,127.0120326,37.29369235
다사51b19b,126.9557522,37.27541917
다사56b23a,127.0119453,37.30721282
다사58b20a,127.0346801,37.28026269
다사57b20a,127.0234,37.28021781
다사54b17a,126.9897423,37.25303573
다사55b18a,127.0009588,37.26209748
다사59a17b,127.0404572,37.2577504
다사57b19a,127.0234568,37.27120411
다사56a21a,127.006421,37.28916214
다사58a21b,127.0289558,37.29376092
다사60a21b,127.0515201,37.29384857
다사59a19b,127.0403476,37.27577787
다사57a15b,127.0180185,37.23963326
다사59a18b,127.0404024,37.26676414
다사60a23a,127.0514399,37.30736911
